CENTRO,TOTAL CENTRO,TITULACIÓN,TOTAL TITULAC,SEXO,<=18,19,20,21,22,23,24,25,26,27,28,29,30-34,35-39,>=40,TOTAL SEXO
 , ,GRADO EN MAESTRO EN EDUCACIÓN PRIMARIA (CEUTA),103,Hombre,14,6,5,3,6,4,1,0,1,0,1,0,4,0,2,47
 , ,"INGENIERO TÉCNICO EN INFORMÁTICA DE GESTIÓN ""CEUTA""",23,Hombre,0,2,0,2,1,2,1,3,1,1,2,0,4,0,0,19
 , ,"LICENCIADO EN PSICOPEDAGOGÍA ""CEUTA""",68,Hombre,0,0,0,0,3,2,2,0,0,1,1,0,4,6,3,22
 , ,"MAESTRO ESPECIALIDAD DE AUDICIÓN Y LENGUAJE ""CEUTA""",19,Hombre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN ESPECIAL ""CEUTA""",38,Hombre,0,1,1,0,0,0,2,0,0,0,0,0,2,2,0,8
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN FÍSICA ""CEUTA""",95,Hombre,0,10,11,13,9,8,6,2,1,1,0,1,9,4,2,77
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN INFANTIL ""CEUTA""",121,Hombre,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,7
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN MUSICAL ""CEUTA""",10,Hombre,0,2,1,0,1,0,0,0,0,0,1,1,0,0,0,6
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN PRIMARIA ""CEUTA""",91,Hombre,0,5,3,2,3,1,0,2,0,1,0,1,3,3,1,25
 , ,"MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA ""CEUTA""",28,Hombre,0,0,1,0,0,0,0,3,1,0,0,0,2,1,0,8
FAC. EDUCACION HUMANID.MELILLA,526,GRADO EN MAESTRO DE EDUCACIÓN INFANTIL (MELILLA),44,Hombre,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,6
 , ,GRADO EN MAESTRO EN EDUCACIÓN PRIMARIA (MELILLA),78,Hombre,11,6,7,3,1,2,1,0,1,0,0,0,2,0,1,35
 , ,"LICENCIADO EN PSICOPEDAGOGÍA ""MELILLA""",67,Hombre,0,0,0,1,2,4,3,0,0,0,1,2,0,1,2,16
 , ,"MAESTRO (ESPECIALIDAD DE EDUCACIÓN INFANTIL) ""MELILLA""",2,Hombre,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
 , ,"MAESTRO ESPECIALIDAD DE AUDICIÓN Y LENGUAJE ""MELILLA""",13,Hombre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN ESPECIAL ""MELILLA""",24,Hombre,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN FÍSICA ""MELILLA""",60,Hombre,0,6,9,7,6,7,2,1,3,0,1,1,1,3,1,48
